Dt,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,BZ_F_Open,BZ_F_High,BZ_F_Low,BZ_F_Close,BZ_F_Volume,SI_F_Open,SI_F_High,SI_F_Low,SI_F_Close,SI_F_Volume,PA_F_Open,PA_F_High,PA_F_Low,PA_F_Close,PA_F_Volume,MP_Open,MP_High,MP_Low,MP_Close,MP_Volume,PL_F_Open,PL_F_High,PL_F_Low,PL_F_Close,PL_F_Volume,GC_F_Open,GC_F_High,GC_F_Low,GC_F_Close,GC_F_Volume,CVX_Open,CVX_High,CVX_Low,CVX_Close,CVX_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,HG_F_Open,HG_F_High,HG_F_Low,HG_F_Close,HG_F_Volume,B_Open,B_High,B_Low,B_Close,B_Volume,CL_F_Open,CL_F_High,CL_F_Low,CL_F_Close,CL_F_Volume,XEL_Open,XEL_High,XEL_Low,XEL_Close,XEL_Volume,datekey,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Volume
5/26/2026,30001.32,30001.32,30001.32,30001.32,0,100.55,100.75,95.93,99.58,37926,77.5,77.5,76.1,76.31,110,1388,1393,1385.8,1385.8,21,64.71,69.46,63.34,66.99,8552700,1942.2,1942.2,1942.2,1942.2,0,4572.8,4572.8,4500.4,4500.4,1261,190,190.49,183.9,184.71,14264600,NULL,NULL,NULL,NULL,NULL,6.36,6.39,6.34,6.36,1840,41.33,41.95,41.3,41.92,11209000,93.88,94.7,89.41,93.89,358867,81.21,81.5,80.67,80.78,4082200,20260526,7511.79,7539.0898,7501.1001,7519.1201,5496060000
5/22/2026,29481.64,29481.64,29481.64,29481.64,0,104.52,106.35,101.38,103.54,35039,76.02,76.04,75.89,75.89,20,1358,1358,1358,1358,0,63.06,65.6,62.92,64.46,6847800,1931.6,1931.6,1931.6,1931.6,1,4519.5,4530.3,4519.1,4521,40,190.37,192,189.8,191.43,7209600,NULL,NULL,NULL,NULL,NULL,6.34,6.35,6.34,6.34,992,41.02,41.02,40.09,40.51,11007000,98,99.43,94.73,96.6,261142,80.35,81.14,79.98,81.08,3738000,20260522,7468.8198,7506.3198,7463.29,7473.4702,4952440000
5/21/2026,29357.27,29357.27,29357.27,29357.27,0,105.21,109.31,102.16,102.58,51232,74.96,76.87,74.96,76.41,4,1383.4,1383.4,1383.4,1383.4,0,58.1,62.95,58.1,61.74,10528200,1955.1,1955.1,1955.1,1955.1,2,4507.2,4539.8,4503.8,4539.8,426,193.79,194.16,189,191.01,9051200,NULL,NULL,NULL,NULL,NULL,6.22,6.26,6.22,6.26,1051,40,41.67,39.93,41.11,11042300,98.95,102.66,95.76,96.35,345482,79.81,80.34,79.49,80.2,6243200,20260521,7410.7798,7465.96,7389.48,7445.7202,5440620000
5/20/2026,NULL,NULL,NULL,NULL,NULL,111.21,111.5,103.28,105.02,53332,75.59,76.43,75.17,75.85,249,1373.8,1373.8,1373.8,1373.8,0,56.74,56.82,53.57,56.5,7744800,1949.8,1949.8,1949.8,1949.8,0,4502.6,4531.3,4465.1,4531.3,981,196.25,198.19,191.27,191.33,14564900,NULL,NULL,NULL,NULL,NULL,6.16,6.3,6.12,6.29,993,39.7,40.9,39.37,40.77,10838000,104.12,104.45,96.94,98.26,320034,80.24,80.44,79.53,79.86,4506200,20260520,7369.1899,7435.6899,7357.46,7432.9702,5384150000
5/19/2026,28818.84,28818.84,28818.84,28818.84,0,109.55,111.79,108.9,111.28,29390,78.46,78.46,73.79,74.83,50,1360.2,1360.2,1360.2,1360.2,0,56.26,56.67,54.51,54.93,5088200,1933.8,1933.8,1933.8,1933.8,12,4551.7,4552.6,4506.2,4506.3,875,194.93,198.87,193.47,197.25,11819200,NULL,NULL,NULL,NULL,NULL,6.25,6.25,6.12,6.16,1254,39.91,40.11,39.01,39.33,14317200,107.11,109.24,106.76,107.77,206472,77.87,80.02,77.83,79.73,3642800,20260519,7375.75,7395.3198,7333.6802,7353.6099,5441140000
5/18/2026,28994.37,28994.37,28994.37,28994.37,0,109.61,112.69,106.87,112.1,46404,75.35,78.06,74.75,77.07,211,1417.8,1417.8,1417.8,1417.8,1,61,61.12,55.05,56.67,9091100,1968.1,1968.1,1968.1,1968.1,0,4563,4570.3,4538.7,4552.5,38,189.43,194.42,187.31,194.34,9869700,NULL,NULL,NULL,NULL,NULL,6.2,6.28,6.2,6.27,1463,40.73,41.67,40.11,40.43,9815700,106,109.47,102.65,108.66,117910,78.44,78.99,77.54,78.1,4971700,20260518,7415.0698,7434.0601,7353.1699,7403.0498,5489500000
5/15/2026,29125.2,29125.2,29125.2,29125.2,0,106.57,109.73,106.05,109.26,26518,80.61,80.61,76,77.16,53,1422.9,1422.9,1422.9,1422.9,2,60.4,62.28,59.68,61.27,5219500,1981.3,1981.3,1981.3,1981.3,0,4615.2,4615.2,4524.3,4555.8,607,186.89,189.76,186.19,189.37,11210800,NULL,NULL,NULL,NULL,NULL,6.52,6.52,6.23,6.25,899,41.52,41.55,39.89,40.44,15828100,102.06,106,101.48,105.42,96552,80.03,80.03,77.68,77.92,4702200,20260515,7445.1099,7454.8501,7397.5,7408.5,5582070000
5/14/2026,29580.3,29580.3,29580.3,29580.3,0,105.64,107.08,103.86,105.72,27529,87.07,87.07,84.9,84.91,91,1456.6,1456.6,1456.6,1456.6,0,62.64,62.64,58.97,60.31,9899500,2083.5,2083.5,2083.5,2083.5,31,4678.1,4678.1,4650.3,4678.1,5,184.5,185.87,183.57,184.95,6222400,NULL,NULL,NULL,NULL,NULL,6.56,6.58,6.55,6.57,718,44.48,44.6,42.94,42.98,14638000,101.02,102.35,99.39,101.17,173862,79.69,80.33,79.63,80.03,4269500,20260514,7454.3999,7517.1201,7454.3999,7501.2402,5267050000
5/13/2026,29366.94,29366.94,29366.94,29366.94,0,107.74,108.31,105.31,105.63,27718,86.93,88.89,86.93,88.89,137,1531,1531,1531,1531,1,64.78,65.61,62.17,63.73,6381300,2133.2,2197.6,2133.2,2187.1,103,4722.7,4722.7,4679.5,4697.7,228,184.12,184.32,182.29,184.31,7554700,NULL,NULL,NULL,NULL,NULL,6.6,6.64,6.6,6.64,910,45.66,45.71,44.33,44.68,14896400,102.16,103.67,100.56,101.02,212582,78.74,80.1,78.63,79.91,3867900,20260513,7409.1201,7460.04,7375.1299,7444.25,5716600000
5/12/2026,29064.8,29064.8,29064.8,29064.8,0,104.5,108.42,104.11,107.77,30738,86.5,86.91,83.75,85.13,418,1485.7,1485.7,1485.7,1485.7,0,66,67.57,63.2,65.59,5822900,2110,2110,2110,2110,0,4762.2,4765.2,4677.6,4677.6,93,184.81,185.19,182.98,184.26,8995100,NULL,NULL,NULL,NULL,NULL,6.43,6.6,6.43,6.49,782,46.16,46.42,44.1,45.66,13576000,98.39,102.72,98,102.18,231747,80.29,80.57,79.32,79.9,9548100,20260512,7390.6299,7409.5698,7338.54,7400.96,5624790000
